frax-share_price,date,frax_price
1.8037534579022307,2024-08-07,0.9966013307113355
1.729273074452747,2024-08-08,0.9960228445512288
1.9184252873424192,2024-08-09,0.9954629107275202
1.9180138895574779,2024-08-10,0.9994301420928099
1.9207488876191647,2024-08-11,0.9966800768071763
1.8188935124930243,2024-08-12,0.9961701708998145
1.9218856051102433,2024-08-13,0.9964853119384407
1.861909769220892,2024-08-14,0.9973273119518897
1.8035646994314887,2024-08-15,0.9964226135499277
1.760101691279224,2024-08-16,0.9958311048329341
1.8220329750835864,2024-08-17,0.995912774683286
1.9003411779716477,2024-08-18,0.9968672334078206
1.9740717277967998,2024-08-19,0.9939567098816602
1.9948981233380736,2024-08-20,0.9972835000097328
1.9181391436265192,2024-08-21,0.9963886010648352
2.2217333224602003,2024-08-22,0.9971046231421634
2.260542218105289,2024-08-23,0.9970605509521877
2.3207683637924537,2024-08-24,0.9981742370382639
2.289228505925123,2024-08-25,0.9971166468691738
2.178050081794624,2024-08-26,0.9939192434586024
2.0786240649429057,2024-08-27,0.9960968130610015
2.0142087489125244,2024-08-28,0.9960864395792386
1.9261727421500534,2024-08-29,0.9958083670011623
1.9429107373784986,2024-08-30,0.9963572627232326
1.9111696344393445,2024-08-31,0.9963093127122838
1.8743486280948753,2024-09-01,0.9963160432012047
1.7848555058872941,2024-09-02,0.9972486266774319
1.9329228105045355,2024-09-03,0.9966978553485527
1.7676158532011403,2024-09-04,0.9937490187652461
1.8208504820835059,2024-09-05,0.996690996565472
1.7640825594879774,2024-09-06,0.9965081651322826
1.705522703224849,2024-09-07,0.9972048340633382
1.7301480684714599,2024-09-08,0.9979056448412564
1.827467708628307,2024-09-09,0.9968505012264622
1.866701851448868,2024-09-10,0.9964788883240181
1.9157253290083978,2024-09-11,0.9976521446564746
1.889806980696415,2024-09-12,0.9967665798936877
1.951687384855386,2024-09-13,0.9971082738320516
1.9359052708696702,2024-09-14,0.9981634890669453
1.8884698233927522,2024-09-15,0.9971283559969569
1.8345000313541007,2024-09-16,0.9974611486278654
1.7829687119981428,2024-09-17,0.9970585581068694
1.8229185067567681,2024-09-18,0.9969975815431642
1.8461615306308539,2024-09-19,0.9987044223980512
1.9788857984807748,2024-09-20,0.9970340298769025
1.9678076158129827,2024-09-21,0.9971619909317083
2.0161007950625374,2024-09-22,0.9977926327148379
1.9343144754252843,2024-09-23,0.9981435483645371
1.9647238667175315,2024-09-24,0.9968537742318454
2.0279194304982697,2024-09-25,0.9970303003049661
1.9492999731020786,2024-09-26,0.9986535164875723
2.0681134183671634,2024-09-27,0.9968079534219104
2.251033223433794,2024-09-28,0.9982004549677681
2.3568944190467698,2024-09-29,0.9983220454568983
2.2648922432222305,2024-09-30,0.9969561467598804
2.171645667731938,2024-10-01,0.9978141061701292
2.057910176503883,2024-10-02,0.996959118288371
1.9804428953883007,2024-10-03,0.9978981707590404
1.9138845211936442,2024-10-04,0.9970442730848742
1.9984206539234812,2024-10-05,0.9971478002509437
1.973716049092289,2024-10-06,0.9975389422598101
2.0275598325926203,2024-10-07,0.9967767197383347
2.0606657216737228,2024-10-08,0.9964380096602399
2.014836282062944,2024-10-09,0.9966776269846298
1.9679624894596017,2024-10-10,0.9964683950519361
1.9564794244180579,2024-10-11,0.9971246164544341
2.0477529443789155,2024-10-12,0.9969458622587206
2.136087094109698,2024-10-13,0.9972988783729434
2.0985075004927816,2024-10-14,0.9978111967092809
2.1704372724528627,2024-10-15,0.996727710524179
2.118845742037433,2024-10-16,0.9967443494248338
1.9983737015929246,2024-10-17,0.9971523242098415
1.9357593330432097,2024-10-18,0.9971006068084536
1.9706828541697112,2024-10-19,0.9972358227535965
1.970885585929531,2024-10-20,0.9969166151457634
2.1274300531393986,2024-10-21,0.9976323142208573
2.159981551660622,2024-10-22,0.9970556220846138
