market_cap,price,volume,date
220672782.47262833,2.4547828163979006,20957851.35583735,2025-05-10 00:00:00
249213522.79538494,2.775107881475248,22299465.050050545,2025-05-11 00:00:00
243050733.2530369,2.6992554047958244,17841244.16906537,2025-05-12 00:00:00
244818568.6496713,2.717449052618059,19313837.41580215,2025-05-13 00:00:00
266344719.37140277,2.943600447176763,19005187.293705735,2025-05-14 00:00:00
287156291.9215202,3.1736938794383542,36245895.59326277,2025-05-15 00:00:00
260645835.06749222,2.8787084564052594,31778083.72490058,2025-05-16 00:00:00
273103677.2214916,3.017074932258,17150096.692152303,2025-05-17 00:00:00
296221423.3580822,3.270854281131221,26749872.75021135,2025-05-18 00:00:00
340111098.16254956,3.7583349328376996,56566970.01739345,2025-05-19 00:00:00
353632047.79390943,3.9115897350889077,37911791.76799519,2025-05-20 00:00:00
350003868.2409457,3.8640706651174543,62128394.96041616,2025-05-21 00:00:00
345842187.438092,3.8053475336483564,36106598.24124151,2025-05-22 00:00:00
325995311.0646334,3.595670435111428,32963998.324021123,2025-05-23 00:00:00
272121408.4534937,3.0038950628673904,40559374.7135717,2025-05-24 00:00:00
291010200.6138236,3.204435709152434,22656140.25055749,2025-05-25 00:00:00
281042008.2652185,3.1013177634594813,18624738.240617592,2025-05-26 00:00:00
309980704.12160766,3.4237906331660763,25994215.431600016,2025-05-27 00:00:00
303882545.2649144,3.3475294035026257,27996877.025472995,2025-05-28 00:00:00
291216126.1040745,3.209335501884022,15339530.143772496,2025-05-29 00:00:00
282235956.7579148,3.109390831328663,11883648.293981344,2025-05-30 00:00:00
256518331.8301208,2.8197519411656256,13275567.29020634,2025-05-31 00:00:00
258571869.22540066,2.8486637292281194,11941404.19613942,2025-06-01 00:00:00
266513544.53523865,2.9365473360109466,11034319.336386168,2025-06-02 00:00:00
276095362.9135879,3.0424157194274937,11623082.576179214,2025-06-03 00:00:00
273233392.41159856,3.0097701588456234,12635620.887550332,2025-06-04 00:00:00
268360486.96916476,2.954794254979734,12316840.481403407,2025-06-05 00:00:00
247328856.72710702,2.730573796768451,13562175.72606873,2025-06-06 00:00:00
249319522.37670705,2.7511048303701235,10502460.0380391,2025-06-07 00:00:00
254351700.92758808,2.810257921880199,7977688.21289156,2025-06-08 00:00:00
248921932.18665648,2.7468337779628915,9137476.037488258,2025-06-09 00:00:00
260908555.95389667,2.880023572837974,13272366.439095464,2025-06-10 00:00:00
281691733.0645802,3.1157561211007647,21573871.744350415,2025-06-11 00:00:00
262790041.2749635,2.9024902254459573,17532180.56045272,2025-06-12 00:00:00
244642307.45900714,2.6968631890008514,13956840.928921282,2025-06-13 00:00:00
239416082.59799477,2.6383386877260735,13602303.736584913,2025-06-14 00:00:00
240319540.49836156,2.6497487143923917,9506675.84469622,2025-06-15 00:00:00
238757918.44754598,2.632761457924869,7648146.89403829,2025-06-16 00:00:00
235514227.57730836,2.5912006688062355,12364477.155972647,2025-06-17 00:00:00
224457309.04761502,2.4759013517077872,12416890.82362693,2025-06-18 00:00:00
214644682.43521702,2.367756712689227,11705916.577603197,2025-06-19 00:00:00
214659345.3936901,2.366786452434491,8970583.654275598,2025-06-20 00:00:00
205719722.19995278,2.2648369062000433,10556875.979104467,2025-06-21 00:00:00
202021854.31087825,2.2241951910389837,7532637.56395367,2025-06-22 00:00:00
196211037.96741292,2.160128216585874,11273975.251707284,2025-06-23 00:00:00
213104934.03120002,2.3442564789969182,11847393.970445782,2025-06-24 00:00:00
212162420.8205581,2.335977355286296,8186806.860464568,2025-06-25 00:00:00
186034795.24992955,2.0464867272522,14298489.061196169,2025-06-26 00:00:00
183823319.6293746,2.021690504205174,14145996.845776023,2025-06-27 00:00:00
183897580.46029794,2.0215747726028397,8668079.03978486,2025-06-28 00:00:00
183493427.54752856,2.017545578457273,6513128.022320777,2025-06-29 00:00:00
188309124.43213463,2.0710318548942674,7911660.533997136,2025-06-30 00:00:00
184267770.5583576,2.0262440051289734,8078129.978138944,2025-07-01 00:00:00
172377731.77223617,1.8945593535154168,10154643.839923467,2025-07-02 00:00:00
186600924.09896654,2.050161479278476,9105750.969476726,2025-07-03 00:00:00
187871713.8941937,2.0623212688921955,7508758.460613819,2025-07-04 00:00:00
178287940.70543382,1.9604346912174995,7273452.226745171,2025-07-05 00:00:00
177299845.74614275,1.9477702064765372,4737046.905741768,2025-07-06 00:00:00
178290702.08535302,1.9593826511959425,6318734.016070354,2025-07-07 00:00:00
179542022.76382783,1.9718823133081742,5915615.412473922,2025-07-08 00:00:00
182486467.68632743,2.005666070670763,6452418.92457596,2025-07-09 00:00:00
184970169.80108106,2.07655054455301,8996908.870870724,2025-07-10 00:00:00
196140162.2458905,2.2026784695349226,12964918.98216256,2025-07-11 00:00:00
196317031.95649835,2.204352822982311,15059030.0985674,2025-07-12 00:00:00
194368203.34207532,2.1846100959600343,8571885.676564971,2025-07-13 00:00:00
203131134.55709,2.2823951439552084,8647875.346039785,2025-07-14 00:00:00
205429348.84588516,2.309431437479159,32501226.831577394,2025-07-15 00:00:00
218160411.7102794,2.465591880982671,20618388.349821113,2025-07-16 00:00:00
243284428.9192652,2.749778844353606,23486188.829891622,2025-07-17 00:00:00
292466589.4429999,3.3003041935385857,76405354.23396222,2025-07-18 00:00:00
314640037.73001474,3.551500283164059,58676805.307942815,2025-07-19 00:00:00
337990316.34269154,3.8081144486457292,96926396.24952367,2025-07-20 00:00:00
320582948.549672,3.622493476155816,48919854.781597294,2025-07-21 00:00:00
313478669.117585,3.532991944472495,38026874.95869271,2025-07-22 00:00:00
